Kereta Api,,,,,,,,,,,,,
,Jumlah Penumpang Kereta Api (Ribu Orang),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Jabodetabek,27522,27204,26974,27552,28561,28205,31401,28947,28741,31777,30373,31640,348897
Non Jabodetabek (Jawa),7763,7067,6762,9350,8197,9006,9083,7748,7635,7927,7970,9568,98076
Jawa (Jabodetabek+Non Jabodetabek),35286,34271,33736,36902,36758,37211,40484,36694,36376,39704,38343,41208,446973
Non Jawa (Sumatera + Sulawesi),602,541,502,719,635,655,646,546,547,576,570,685,7225
Kereta Bandara,765,709,662,838,764,773,822,786,756,822,777,855,9329
MRT,3535,3477,3197,3259,3632,3609,4354,3986,3914,4398,4062,4058,45479
LRT,2639,2559,2436,2631,2767,2811,3219,3037,2956,3299,3071,3267,34690
Kereta cepat (Whoosh),525,477,346,499,529,555,580,534,474,529,535,614,6203
Total,43357,42034,40879,44848,45084,45614,50105,45583,45023,49328,47358,50686,549899
